aU_z,aT_z,aL_z,ep,n_days,cls
2.6009737504921153,0.11079888452738895,-0.13056926888772324,74,4,3-4
-0.09947353162275688,-0.005305958771847363,0.49411356646807786,78,11,8-14
-0.34471717567493415,-0.10048159424186967,0.22916781452375962,79,9,8-14
0.4114402606921306,-0.5108740616960529,0.04267909586724211,80,17,15+
0.0023978058029844873,0.010106588136855443,0.14308089324240444,84,3,3-4
-0.6210119043294886,0.3838397952809005,-0.16014000633681422,85,10,8-14
-0.09066506508345099,-0.3727565426002748,0.8905581087732455,86,9,8-14
-0.32683541864069543,0.2605674033064056,-0.12061874998598793,87,3,3-4
-0.755476526064096,0.11828342735962036,1.0196732921647707,88,4,3-4
-0.7965119384144546,-0.7847565889915123,0.7547342856843113,90,16,15+
-0.42182802773046413,-0.18109742617723734,-0.0023943824814969816,93,9,8-14
-0.2905394707388474,-0.002652979385926124,-0.02214421097764807,95,5,5-7
-0.14476210885096802,0.12352158517960193,-0.1192922464798227,96,10,8-14
0.35024445701936063,0.005783011909110902,0.6340584628107412,97,13,8-14
1.000722086671687,0.4705044917029392,0.12190303922166407,98,8,8-14
0.3791398175875783,-0.20979483162091556,-0.020669425156567556,99,3,3-4
0.7030749264165437,-0.7981708728149652,-0.6170586609887888,100,23,15+
3.232361223944063,-0.4331997468715939,-0.27610483144119896,103,35,15+
-0.04885683332478841,0.033961344580504926,0.07314533336221934,104,4,3-4
-1.0092611172436807,0.30825312574721125,0.49464964980384185,106,5,5-7
1.5544287226954532,-0.5887442231711805,0.18689960519593307,107,3,3-4
0.082124954951348,-0.059091957512663384,0.8686238783920076,110,9,8-14
0.3610066169736754,0.37466642477152456,0.1473638069439144,114,12,8-14
-0.6826273079413872,-0.27363774837880694,1.0495194927002953,119,14,8-14
5.927972125646507,-0.5035379860367135,-1.2008637329262224,122,18,15+
-0.23007724150099768,0.31104216214332847,0.4754422119710923,125,14,8-14
0.43541355871241444,-0.5906388732907546,1.6590922642021075,126,11,8-14
2.4309175071572144,-0.11457195824232795,-0.4263679344446617,127,3,3-4
-1.5263367364501292,-0.20888399862816498,0.27550001961212367,135,3,3-4
-0.6411951034774058,-0.10664499913292591,0.003709783223241111,138,11,8-14
-0.8035910822837813,0.06305612015671369,-0.21202465320592712,144,5,5-7
1.909163094826619,0.6148696041785429,0.6974850080196737,150,9,8-14
0.6423385173526492,-1.2601247599802883,-0.527036911001912,151,6,5-7
-0.2395031274171996,0.040546122027663,1.349355553429487,152,14,8-14
1.4935851396944524,-0.11632533551177268,0.7454525424112919,153,11,8-14
-0.3337532617668745,-0.35065118963813635,0.13236648371609078,155,6,5-7
-0.0024692041870446046,0.10077878852983907,0.9304007211693349,156,11,8-14
1.2675537216702417,0.012309551991008694,-2.68481718309698,159,3,3-4
0.15201739075466536,0.5230789185412547,-0.20611458903346913,160,3,3-4
0.5154263976221403,-0.15979734853696526,-0.7183902154453952,162,3,3-4
0.9690852141746112,0.27923357148503747,-0.5118046652091909,163,5,5-7
0.5628944456502472,-0.42650539304841073,1.451418469037894,164,3,3-4
-0.0732900741811319,-0.6689900109604192,0.9580456126499464,167,5,5-7
0.6241460630888672,-0.11984174545448739,1.0580138317713987,169,8,8-14
-0.5453256160154574,0.42300086453697117,0.951617767615859,170,3,3-4
0.6748175696560321,-0.45897396061186,-0.6954818542281216,173,3,3-4
-0.4228481668248266,-1.3695632358900849,1.2415443232878505,174,5,5-7
1.4792200829731836,-1.5113516597336218,-2.051047776195233,175,9,8-14
-0.19862252618283577,0.08731126739486084,0.20251354188441303,176,4,3-4
0.10126992328677314,0.04960079010859175,-0.39709712289005783,181,3,3-4
-0.11344364073112434,0.1897706639283887,1.109175190720581,183,3,3-4
0.3601787597219464,-0.5814963695710207,-1.7429308878129834,184,4,3-4
-0.14331087535472498,-0.43252176129777997,0.6064032301659177,189,3,3-4
0.45604959125430705,-0.8172343154040836,0.38124323664609927,194,4,3-4
-0.2850552542298293,-0.6664016719350728,-2.222237781826638,197,10,8-14
-0.7321531456695118,-0.09603686723373508,0.4468753693445561,198,16,15+
0.3790638387893578,-0.8049255057992604,0.2939350195199274,199,11,8-14
-1.2106861019644957,1.033378351440508,-1.1977604340709211,201,8,8-14
0.13799400709499898,-0.22625519574323016,0.2727680747472852,202,3,3-4
0.6071089247851863,0.1430928584823945,2.1493655365073208,205,3,3-4
-0.7977163428390801,0.22508446760232947,-0.6718301642550215,207,7,5-7
0.3363251417655394,0.03228846936278562,0.38719604233886756,209,10,8-14
-0.08056941294178274,-0.15638360949257232,1.7723056654980618,210,7,5-7
2.114337407227449,-1.8341285205834288,-2.223380407588957,211,17,15+
0.2457828089337909,0.6163740029489813,1.0846690630840983,213,5,5-7
1.8429964344937946,-0.9623476554210306,-1.6788916519160249,215,4,3-4
-0.05228551405500001,0.14834067995143346,0.01466440811344627,216,3,3-4
1.7745879454540314,-0.7077020660165183,0.03572646708261029,217,10,8-14
0.997557389547111,0.6460062253131936,0.1683410915774574,221,5,5-7
0.7625651790962631,-0.31843465575949537,0.8169960653122161,222,4,3-4
1.3076584909660736,-0.7160166971633921,-2.035606845458265,224,3,3-4
0.5228970440247029,1.0689439195855097,0.055418998453939605,225,4,3-4
0.4259819776264807,0.65649580680887,-0.2898111429131277,226,4,3-4
0.5736490056670667,0.5244461122449597,-0.5236061303872364,227,4,3-4
1.7369459394649414,-0.8344197608527296,-1.960798044678926,228,4,3-4
0.3514789849768054,1.255549239333019,0.08714187879442403,230,9,8-14
0.5547135172975716,0.08161636238109404,0.5043564679099527,232,11,8-14
2.4521859211702357,-0.09112237467587092,-1.139375129472842,234,23,15+
0.07112090998400622,-0.852944811382301,1.6812564137659651,238,5,5-7
0.9154242023566959,0.12801778415984483,-1.1768845362046685,239,12,8-14
-0.5350353984376095,-1.115570330108234,0.4052304615078589,240,14,8-14
1.386062285766759,-0.47558630273531965,1.3167113992184258,243,10,8-14
1.4475762415118574,0.07711015001458915,-0.17307844553219237,244,5,5-7
-0.3843154327045851,-0.3906764873200303,-0.013676133475621986,245,13,8-14
-0.06228129412736377,-0.2310354843305109,0.36558799705593703,246,7,5-7
-0.28778240906289815,-0.7865249237929619,0.7133617839801134,248,4,3-4
-0.7209964804992611,0.30824697145604163,0.07680301414306373,249,7,5-7
-0.07232211077270856,0.6772956736607336,0.947451037672848,251,8,8-14
0.43095762164890544,0.10222514048095876,-0.3846476203619726,252,10,8-14
0.40449544760562023,0.03680064085749557,-0.18302645061735062,254,3,3-4
-0.6434369309138672,-0.6068726290842478,0.004823151501803902,257,4,3-4
-0.35861591374289625,0.09501518572874154,0.7010677410521231,260,4,3-4
0.973666315968786,-0.13045608429988498,0.9311108763152249,261,8,8-14
0.9791517056277107,1.0354376591645826,0.7007660036285899,264,26,15+
-2.520675955052704,-0.08482120345474822,2.568748702194353,265,3,3-4
0.3431152706663795,-0.19182132994291404,1.417167704506444,269,5,5-7
1.3304358285785565,-1.9147712735773161,-1.9905081465379275,270,19,15+
0.9532512997526726,-0.8902485175385059,0.6248437016947593,274,13,8-14
