site_id,lat,lon,n_summers,n_days,n_ep,med_dur,max_dur,ep_days,ep_per_summer,frac_days
3321500,37.8583774,-87.4097294,11,1914,4.0,2.0,2.0,7.0,0.36363636363636365,0.3657262277951933
3353200,39.94642217,-86.260249,14,2498,0.0,,,0.0,0.0,0.0
3374100,38.4897748,-87.5500132,13,2255,0.0,,,0.0,0.0,0.0
3428180,35.8989535,-86.42554779,11,1998,0.0,,,0.0,0.0,0.0
3430200,36.18648009,-86.632762,15,2718,16.0,2.0,6.0,38.0,1.0666666666666667,1.3980868285504047
3431083,36.16394545,-86.699164,15,2744,0.0,,,0.0,0.0,0.0
3431091,36.1653343,-86.7213866,15,2673,0.0,,,0.0,0.0,0.0
3431514,36.1889717,-86.8283959,15,2697,0.0,,,0.0,0.0,0.0
343233905,35.89984185,-86.8428894,9,1635,0.0,,,0.0,0.0,0.0
34324146,35.9581186,-86.88972369,8,1376,0.0,,,0.0,0.0,0.0
3512000,35.46138889,-83.3536111,10,1780,0.0,,,0.0,0.0,0.0
375350097262800,37.89713889,-97.4411111,11,1905,7.0,2.0,2.0,12.0,0.6363636363636364,0.6299212598425197
4024000,46.703511,-92.418378,14,2506,0.0,,,0.0,0.0,0.0
4027000,46.4866144,-90.696297,12,2038,0.0,,,0.0,0.0,0.0
4067500,45.3258333,-87.6633333,14,2409,0.0,,,0.0,0.0,0.0
40851385,44.5286111,-88.01,14,2437,11.0,2.0,7.0,32.0,0.7857142857142857,1.3130898645876077
4087170,43.02444444,-87.8983333,13,2345,0.0,,,0.0,0.0,0.0
4101500,41.8292138,-86.2597325,14,2478,0.0,,,0.0,0.0,0.0
410333095530101,41.059353,-95.883669,10,1776,0.0,,,0.0,0.0,0.0
4108660,42.65085976,-86.106703,14,2481,0.0,,,0.0,0.0,0.0
4119400,43.0241884,-86.0264354,14,2522,0.0,,,0.0,0.0,0.0
411955088280601,41.33305556,-88.4669444,8,1302,23.0,2.0,14.0,69.0,2.875,5.299539170506913
412126095565201,41.3574722,-95.9477778,10,1708,0.0,,,0.0,0.0,0.0
4121650,43.693634,-85.4675442,14,2504,0.0,,,0.0,0.0,0.0
4121660,43.61308,-85.4778209,14,2507,3.0,1.0,2.0,4.0,0.21428571428571427,0.15955325089748704
4121680,43.485857,-85.63060189,14,2555,59.0,2.0,83.0,771.0,4.214285714285714,30.176125244618394
4121944,43.43085818,-85.5955989,15,2690,0.0,,,0.0,0.0,0.0
4121970,43.43474558,-85.6653239,14,2478,0.0,,,0.0,0.0,0.0
4124000,44.43639239,-85.6986792,14,2309,0.0,,,0.0,0.0,0.0
4124200,44.3630596,-85.820905,15,2708,0.0,,,0.0,0.0,0.0
4125460,44.19334009,-85.7697863,15,2653,0.0,,,0.0,0.0,0.0
4125550,44.25944459,-85.9416248,15,2645,0.0,,,0.0,0.0,0.0
4136000,44.6769593,-84.2925146,15,2698,0.0,,,0.0,0.0,0.0
4136500,44.66001385,-84.1311167,15,2722,0.0,,,0.0,0.0,0.0
4136900,44.61277537,-83.8376616,15,2717,0.0,,,0.0,0.0,0.0
4137005,44.56084749,-83.802764,15,2684,0.0,,,0.0,0.0,0.0
4137020,44.46334886,-83.7213714,14,2532,0.0,,,0.0,0.0,0.0
4137025,44.4541823,-83.6744254,15,2691,1.0,2.0,2.0,2.0,0.06666666666666667,0.07432181345224824
4137030,44.47279328,-83.57108839,15,2744,9.0,1.0,3.0,15.0,0.6,0.5466472303206997
4137500,44.43640447,-83.4338609,15,2729,0.0,,,0.0,0.0,0.0
4142000,44.0725203,-84.0199939,13,2331,0.0,,,0.0,0.0,0.0
4157005,43.4219699,-83.951918,13,2289,0.0,,,0.0,0.0,0.0
4165500,42.5958395,-82.908745,13,2276,1.0,1.0,1.0,1.0,0.07692307692307693,0.043936731107205626
4166500,42.3730923,-83.2546513,14,2542,22.0,1.0,2.0,23.0,1.5714285714285714,0.9047993705743509
4168400,42.30837099,-83.2527063,8,1359,6.0,1.5,2.0,9.0,0.75,0.6622516556291391
4176500,41.9605671,-83.5309896,14,2482,0.0,,,0.0,0.0,0.0
4188496,40.9792203,-83.6532653,9,1438,30.0,2.0,12.0,90.0,3.3333333333333335,6.258692628650904
4193490,41.47616368,-83.7388261,11,1926,1.0,1.0,1.0,1.0,0.09090909090909091,0.05192107995846314
4199500,41.38199,-82.3168273,13,2214,0.0,,,0.0,0.0,0.0
4200500,41.38032368,-82.10459279,12,2066,0.0,,,0.0,0.0,0.0
420451121510000,42.0808333,-121.85,15,2751,130.0,2.0,71.0,876.0,8.666666666666666,31.84296619411123
420741121554001,42.12805556,-121.9277778,15,2738,88.0,4.0,72.0,1007.0,5.866666666666666,36.778670562454344
4208000,41.39533087,-81.6298478,12,1989,0.0,,,0.0,0.0,0.0
420853121505500,42.14805556,-121.848611,15,2756,99.0,3.0,59.0,909.0,6.6,32.98258345428157
420853121505501,42.14805556,-121.848611,15,2721,70.0,7.5,114.0,1240.0,4.666666666666667,45.571481073134876
421015121471800,42.1708333,-121.7883333,15,2721,61.0,7.0,59.0,852.0,4.066666666666666,31.31201764057332
4213152,42.07388889,-80.2347222,12,2117,0.0,,,0.0,0.0,0.0
4213500,42.46344444,-78.9345278,13,2328,0.0,,,0.0,0.0,0.0
421401121480900,42.2336111,-121.8025,15,2728,3.0,3.0,7.0,11.0,0.2,0.4032258064516129
4231600,43.1417222,-77.6163056,14,2555,0.0,,,0.0,0.0,0.0
4249000,43.45138889,-76.50547222,14,2521,0.0,,,0.0,0.0,0.0
453004122510301,45.5009505,-122.852045,15,2713,30.0,2.0,4.0,59.0,2.0,2.174714338370807
